"collection_date","collection_temp","lab_temp","start_temperature","assay_date","species","exp_rep","treatment","tube","dose_assignment","cl_conc","ctmax","acc_time"
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T1","D7",1.6,27.8,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T2","D8",1.7,29.2,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T3","C1",0,27.6,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T4","D6",1.5,28,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T5","D6",1.5,27.3,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T6","D5",1.4,31,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T7","D7",1.6,29,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T8","C1",0,29.3,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T9","D5",1.4,20.2,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T11","D5",1.4,26.9,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T13","C2",0,29.8,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T14","D6",1.5,30,6
2026-01-14,4,7,6,2026-01-20,"L. Sicilis",1,"NaCl","T15","C2",0,29.5,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T1","D5",1.6,30.5,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T2","D7-1",1.8,20.2,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T3","D6",1.7,32.1,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T4","D7-2",1.8,32.2,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T5","C1",0,32,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T6","D8-1",1.9,32.7,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T7","D7-1",1.8,31.7,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T8","D5",1.6,33.1,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T9","D8-1",1.9,32.4,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T10","D7-2",1.8,28.7,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T11","C2",0,31.2,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T12","D7-1",1.8,21.3,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T13","D8-2",1.9,21.5,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T14","D6",1.7,31.6,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T15","C2",0,29,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T16","D8-2",1.9,25.9,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T17","D8-1",1.9,23.1,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T18","D5",1.6,32.9,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T19","C1",0,29.3,6
2026-01-28,0,6,6.4,2026-02-03,"L. Sicilis",3,"NaCl","T20","D6",1.7,31.9,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T1","D5",2.3,21.5,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T2","C2",0,31.1,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T3","C1",0,30.6,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T4","D1",1.9,31,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T5","D1",1.9,26.2,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T6","D4",2.2,24.3,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T7","D2",2,30.1,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T8","C2",0,30.8,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T9","D1",1.9,30.3,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T10","D3",2.1,28.9,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T11","D3",2.1,25.1,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T12","D2",2,19.3,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T13","C1",0,29.6,6
2026-01-30,0,4,1,2026-02-05,"L. Sicilis",1,"MgCl2","T14","D3",2.1,24.7,6
2026-02-02,0,0,0.4,2026-02-07,"L. Sicilis",2,"NaCl","T1","C1",0,25.8,5
2026-02-02,0,0,0.4,2026-02-07,"L. Sicilis",2,"NaCl","T2","D8",1.9,18.8,5
2026-02-02,0,0,0.4,2026-02-07,"L. Sicilis",2,"NaCl","T3","D7",1.8,24.9,5
2026-02-02,0,0,0.4,2026-02-07,"L. Sicilis",2,"NaCl","T4","D6",1.7,21.2,5
