"experiment_date","experiment","lab_temp","salt","replicate","treatment","tube","rank","time","ctmax"
"1/13/24",1,4,"RoadSalt","A","control",1,1,60.2,29.6666666666667
"1/13/24",1,4,"RoadSalt","A","control",2,2,58.1,29.15625
"1/13/24",1,4,"RoadSalt","A","salt",3,10,43.1666666666667,25.4375
"1/13/24",1,4,"RoadSalt","A","control",4,6,50.1666666666667,27.2202380952381
"1/13/24",1,4,"RoadSalt","A","salt",5,7,45.25,26
"1/13/24",1,4,"RoadSalt","A","salt",6,3,52.1666666666667,27.7447916666667
"1/13/24",1,4,"RoadSalt","A","control",7,5,51,27.4236111111111
"1/13/24",1,4,"RoadSalt","A","salt",8,9,43.75,25.5965909090909
"1/13/24",1,4,"RoadSalt","A","control",9,4,51.8333333333333,27.6541666666667
"1/13/24",1,4,"RoadSalt","A","salt",10,8,44.6833333333333,25.8518518518519
"1/20/24",1,4,"RoadSalt","A","salt",1,3,65.3833333333333,32.2916666666667
"1/20/24",1,4,"RoadSalt","A","control",2,4,63.6,31.7708333333333
"1/20/24",1,4,"RoadSalt","A","salt",3,2,66.9833333333333,32.7916666666667
"1/20/24",1,4,"RoadSalt","B","salt",4,10,48.3333333333333,27.0572916666667
"1/20/24",1,4,"RoadSalt","A","control",5,8,58.8333333333333,30.325
"1/20/24",1,4,"RoadSalt","A","control",6,9,53.5166666666667,28.6988636363636
"1/20/24",1,4,"RoadSalt","B","salt",7,7,60.1166666666667,30.71875
"1/20/24",1,4,"RoadSalt","B","control",8,6,61.7666666666667,31.235119047619
"1/20/24",1,4,"RoadSalt","B","salt",9,1,67.65,32.9791666666667
"1/20/24",1,4,"RoadSalt","B","control",10,5,62.6,31.4791666666667
"1/20/24",2,4,"RoadSalt","B","control",1,6,51.8833333333333,26.1517857142857
"1/20/24",2,4,"RoadSalt","B","control",2,5,54.9666666666667,27.0125
"1/20/24",2,4,"RoadSalt","B","salt",3,3,58.4666666666667,27.9722222222222
"1/20/24",2,4,"RoadSalt","B","control",4,9,42.5166666666667,23.467803030303
"1/20/24",2,4,"RoadSalt","B","salt",5,4,56.9833333333333,27.575
"1/20/24",2,4,"RoadSalt","A","control",6,2,62.2666666666667,29.0104166666667
"1/20/24",2,4,"RoadSalt","B","salt",7,8,43.7666666666667,23.8541666666667
"1/20/24",2,4,"RoadSalt","B","salt",8,10,39.75,22.6597222222222
"1/20/24",2,4,"RoadSalt","A","control",9,1,66.05,29.9583333333333
