assay_date,body_size_mm,tube_number,species
2_08_26,0.788,1,L.sicilis
02_08_26,0.7775,2,L.sicilis
02_08_26,0.9291,3,L.sicilis
02_08_26,0.8305,4,L.sicilis
02_08_26,0.8307,5,L.sicilis
02_08_26,0.8433,6,L.sicilis
02_08_26,0.8518,7,L.sicilis
02_08_26,0.8007,8,L.sicilis
02_08_26,0.625,9,L.sicilis
02_08_26,0.8343,10,L.sicilis
02_08_26,0.8196,11,L.sicilis
02_08_26,0.9087,12,L.sicilis
2_10_26,0.8208,1,L.sicilis
2_10_26,0.9204,2,L.sicilis
2_10_26,0.8976,3,L.sicilis
2_10_26,0.8481,4,L.sicilis
2_10_26,0.7973,5,L.sicilis
2_10_26,0.9097,6,L.sicilis
2_10_26,0.8942,7,L.sicilis
2_10_26,0.9151,8,L.sicilis
2_10_26,0.8413,9,L.sicilis
2_10_26,0.8436,10,L.sicilis
2_10_26,0.8851,11,L.sicilis
2_10_26,0.9048,12,L.sicilis
2_10_26,0.9114,13,L.sicilis
2_10_26,0.9185,14,L.sicilis
2_10_26,0.8489,15,L.sicilis
2_10_26,0.8452,16,L.sicilis
2_10_26,0.8597,17,L.sicilis
2_15_26,0.7438,1,L.sicilis
2_15_26,0.8538,2,L.sicilis
2_15_26,0.8041,3,L.sicilis
2_15_26,0.9137,4,L.sicilis
2_15_26,0.8256,5,L.sicilis
2_15_26,0.6839,6,L.sicilis
2_15_26,0.7422,7,L.sicilis
2_15_26,0.7501,8,L.sicilis
2_15_26,0.5988,9,L.sicilis
2_15_26,0.8777,10,L.sicilis
1_14_26,1.1206,1,L.sicilis
1_14_26,0.9702,2,L.sicilis
1_14_26,1.1153,3,L.sicilis
1_14_26,1.191,4,L.sicilis
1_14_26,1.0559,5,L.sicilis
1_14_26,0.8558,6,L.sicilis
1_14_26,0.8783,7,L.sicilis
1_14_26,0.902,8,L.sicilis
1_14_26,0.8708,9,L.sicilis
1_14_26,0.8131,10,L.sicilis
1_14_26,0.8574,11,L.sicilis
1_14_26,0.9779,12,L.sicilis
1_14_26,0.9033,13,L.sicilis
1_14_26,0.9192,14,L.sicilis
1_14_26,0.9019,15,L.sicilis
11_10_25,0.663,1,L.minutus
11_10_25,0.559,2,L.minutus
11_10_25,0.6728,3,L.minutus
