sample_number,Intensity_Mg,Concentration_Mg,Intensity_Na,Concentration_Na,collection_date
Sample 1,286069.17,3.767626906,148578.87,15.08029014,03_30_25
Sample 2,317428.22,4.263817147,160433.08,16.2840618,04_21_25
Sample 3,315553.62,4.234155591,132894.06,13.4875286,09_22_25
Sample 4,319464.37,4.296034888,134647.04,13.66554026,09_30_25
Sample 5,317173.42,4.259785479,133099.41,13.50838149,10_02_25
Sample 6,335683.26,4.552664312,141452.41,14.35661217,10_14_25
Sample 7,328621.98,4.440934581,135435.09,13.74556519,10_16_25
Sample 8,325031.14,4.384117178,133232.13,13.52185894,10_23_25
Sample 9,312715.39,4.18924664,128376.11,13.02873968,10_28_25
Sample 10,308841.34,4.127948042,126578.9,12.84623655,10_30_25
Sample 11,328172.23,4.433818244,132862.92,13.48436639,11_04_25
Sample 12,314937.94,4.224413765,130144.54,13.20832026,11_06_25
Sample 13,324428.45,4.374580892,148119.21,15.03361257,11_13_25
Sample 14,298705.54,3.967570574,124908.35,12.67659549,11_15_25
Sample 15,300887.8,4.002100195,127352.08,12.92475145,12_02_25
Sample 16,324549.11,4.376490079,137829.81,13.98874428,12_04_25
Sample 17,303898.49,4.049737958,148228.68,15.04472903,01_14_26
Sample 18,311258.29,4.166191133,133465.19,13.54552573,01_16_26
Sample 19,327063.08,4.416268305,146126.44,14.8312507,01_21_26
Sample 20,319996.18,4.30444965,136325.75,13.83600995,01_23_26
Sample 21,325650.37,4.393915176,152120.66,15.43995193,01_28_26
Sample 22,307759.54,4.110830859,125781.37,12.76524895,01_30_26
Sample 23,310662.41,4.1567626,130647.31,13.25937557,02_02_26
Sample 24,304950.97,4.066391214,131066.21,13.30191404,02_04_26
Sample 25,311821.32,4.175099885,131172.89,13.31274718,02_09_26
Sample 26,330037.84,4.463337553,128654.3,13.05698933,02_11_26
Sample 27,318655.22,4.283231811,131395.92,13.33539544,02_18_26
Sample 28,306518.14,4.091188345,132555.22,13.45312007,02_20_26
Sample 29,313842.77,4.20708503,127782.46,12.9684557,02_23_26
Sample 30,315680.85,4.236168735,129470.67,13.13989009,02_25_26
Sample 31,299247.06,3.976138975,127831.08,12.97339296,03_16_26
Sample 32,299305.9,3.977069993,146813.78,14.90104873,03_18_26
Sample 33,305479.61,4.074755818,131149.72,13.31039431,03_23_26
Sample 34,305479.61,4.074755818,125944.23,12.78178706,03_25_26
