Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T1,D6,2400,11.6,0:36:57
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T2,D5,2300,29,1:43:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T3,D7,2500,23.6,1:21:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T4,C1,0,28.6,1:42:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T5,D8,2600,14.2,0:46:10
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T6,D7,2500,24,1:23:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T7,D6,2400,23.6,1:21:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T8,D5,2300,28.4,1:41:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T9,D7,2500,12.1,0:38:20
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T10,D8,2600,12.2,0:39:11
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T11,C1,0,30.8,1:51:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T12,D7,2500,25.5,1:27:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T13,D6,2400,18.8,1:02:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T14,C2,0,31,1:52:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T15,D5,2300,19.1,1:03:00
3/16/26,2,2,1.3,3/22/26,L. Sicilis,1,NaCl,T16,C2,0,31.1,1:53:00
