Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T1,C2,0,29.3,1:52:30
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T2,D6,2400,25.9,1:35:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T3,D4,2200,25.5,1:33:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T4,D3,2100,31.1,2:01:40
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T5,C2,0,30.2,1:56:40
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T6,D1,1900,23.1,1:22:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T7,D2,2000,29.7,1:54:45
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T8,D8,2600,29.4,1:53:30
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T9,C1,0,30.3,1:57:30
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T10,D3,2100,27.2,1:42:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T11,C1,0,31.2,2:02:30
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T12,D7,2500,29.1,1:51:30
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T13,D4,2200,22,1:17:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T14,D1,1900,29,1:50:00
3/25/26,1,2,2.8,3/31/26,L. Sicilis,4,MgCl2,T15,D7,2500,20.8,1:12:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
