Collection Date,Start Temperature,Assay Date,Species,Replication,Treatment,Tube,Dose Assignment,CTMax Temp,CTMax Time
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T1,D5,14.1,0:15:04
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T2,D1,32.1,1:38:40
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T3,C1,29.3,1:23:40
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T4,D4,30.6,1:29:55
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T5,D4,29.5,1:24:50
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T6,C1,32,1:37:50
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T7,D4,29.8,1:26:15
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T8,D1,30.8,1:31:20
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T9,D5,17.6,0:30:20
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T10,D5,31.4,1:34:42
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T11,C1,31.8,1:36:50
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T12,D1,21.5,0:47:05
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T13,D5,29,1:21:56
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T14,D4,30.4,1:29:10
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T16,D5,23.8,0:57:10
12/4/25,10.7,12/10/25,L. Minutus,4,MgCl2,T17,D5,26.9,1:11:30
12/4/25,10.7,12/10/25,L. Minutus,4,NaCl,T18,D4,31.6,1:35:45
,,,,,,,,,
,,,,,,,,,
