Treatment,Species,Replication,Collection Date,Acclimation Date,Collection Time,Acclimation Time,Lake Temperature (Degrees C),Lab Temperature,Cl Concentration (mg/L),Dose Group,Number Gravid,0 Hour,25 Hour,47 Hour,71 Hour,95 Hour,143 Hour
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,1900,D1,3,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2000,D2,3,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2100,D3,2,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2200,D4,2,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2300,D5,3,5,5,5,5,5,4
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2400,D6,3,5,5,5,5,4,4
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2500,D7,3,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,2600,D8,3,5,5,5,5,3,2
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,0,C1,3,5,5,5,5,5,5
NaCl,L. Sicilis,1,3/16/26,3/16/26,7:30,11:15,2,2,0,C2,3,5,5,5,5,5,5
