Treatment,Species,Replication,Collection Date,Acclimation Date,Collection Time,Acclimation Time,Lake Temperature (Degrees C),Lab Temperature,Cl Concentration (mg/L),Dose Group,0 Hour,24 Hour,49 Hour,74 Hour,98 Hour,122 Hour
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1000,D1,5,5,5,5,5,4
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1100,D2,5,5,5,5,5,4
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1200,D3,5,5,5,5,5,5
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1300,D4,5,5,5,2,2,2
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1400,D5,5,5,3,2,2,2
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1500,D6,5,5,2,1,0,0
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1600,D7,5,3,1,0,0,0
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,1700,D8,5,4,2,1,1,0
NaCl,L. Minutus,1,11/4/25,11/4/25,7:00,15:00,11,12,0,C1,5,5,5,5,5,5
,,,,,,,,,,,,,,,,
