Treatment,Species,Replication,Collection Date,Acclimation Date,Collection Time,Acclimation Time,Lake Temperature (Degrees C),Lab Temperature,Cl Concentration (mg/L),Dose Group,0 Hour,24 Hour,48 Hour,71 Hour,95 Hour,119 Hour
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1000,D1,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1100,D2,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1200,D3,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1300,D4,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1400,D5,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1500,D6,5,4,4,4,2,2
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1600,D7,5,5,4,4,4,4
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,1700,D8,5,5,3,2,1,1
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,0,C1,5,5,5,5,5,5
MgCl2,L. Minutus,1,11/13/25,11/13/25,7:00,18:30,8,10,0,C2,5,5,5,5,5,5
