salt,treatment,replicate,hour_0,hour_4,hour_23,hour_47,hour_71,hour_94,hour_119,hour_140
RoadSalt,0,A,10,10,10,10,10,10,10,10
RoadSalt,0,B,10,10,10,10,10,10,9,9
RoadSalt,1000,A,10,10,10,10,10,10,10,10
RoadSalt,1000,B,10,10,10,10,10,10,10,10
RoadSalt,2000,A,10,10,10,10,10,10,10,10
RoadSalt,2000,B,10,10,10,10,9,9,9,9
RoadSalt,3000,A,8,8,8,8,7,7,7,7
RoadSalt,3000,B,10,10,10,10,10,10,10,9
RoadSalt,4000,A,10,10,9,8,6,4,2,1
RoadSalt,4000,B,10,10,10,6,4,1,1,1
RoadSalt,5000,A,10,10,10,7,1,0,0,0
RoadSalt,5000,B,10,10,10,3,0,0,0,0
RoadSalt,6000,A,10,10,5,2,0,0,0,0
RoadSalt,6000,B,11,11,7,2,0,0,0,0
RoadSalt,7000,A,10,10,4,0,0,0,0,0
RoadSalt,7000,B,11,11,3,0,0,0,0,0
