salt,treatment,replicate,hour_0,hour_4,hour_24,hour_47,hour_70,hour_90,hour_119,hour_140
RoadSalt,0,A,10,10,10,,,,,
RoadSalt,0,B,10,10,10,,,,,
RoadSalt,1000,B,10,10,10,,,,,
RoadSalt,2000,A,10,10,10,,,,,
RoadSalt,2000,B,10,10,10,,,,,
RoadSalt,3000,A,10,10,10,,,,,
RoadSalt,3000,B,10,10,10,,,,,
RoadSalt,4000,A,10,10,10,,,,,
RoadSalt,4000,B,10,10,10,,,,,
RoadSalt,5000,A,11,11,11,,,,,
RoadSalt,5000,B,10,10,10,,,,,
RoadSalt,6000,A,10,10,10,,,,,
RoadSalt,6000,B,10,10,10,,,,,
RoadSalt,7000,A,10,10,10,,,,,
RoadSalt,7000,B,10,10,9,,,,,
