salt,treatment,sex,replicate,hour_0,hour_18,hour_42,hour_62,hour_86
RoadSalt,0,female,A,5,5,5,5,5
RoadSalt,0,female,B,5,5,5,4,4
RoadSalt,0,female,C,5,5,5,4,4
RoadSalt,1000,female,A,4,4,4,4,4
RoadSalt,1000,female,B,5,5,4,4,4
RoadSalt,1000,female,C,5,5,5,5,5
RoadSalt,2000,female,A,5,5,5,5,5
RoadSalt,2000,female,B,3,3,3,3,3
RoadSalt,2000,female,C,5,5,5,5,5
RoadSalt,3000,female,A,3,3,3,2,2
RoadSalt,3000,female,B,5,5,5,5,4
RoadSalt,3000,female,C,4,4,4,3,3
RoadSalt,4000,female,A,5,4,4,4,4
RoadSalt,4000,female,B,4,4,4,3,3
RoadSalt,4000,female,C,5,5,5,5,5
RoadSalt,5000,female,A,4,4,4,4,4
RoadSalt,5000,female,B,5,5,5,5,4
RoadSalt,5000,female,C,4,4,4,4,4
RoadSalt,6000,female,A,4,4,4,3,2
RoadSalt,6000,female,B,3,2,2,2,1
RoadSalt,6000,female,C,5,5,4,4,4
RoadSalt,7000,female,A,4,4,3,1,0
RoadSalt,7000,female,B,3,3,2,1,1
RoadSalt,7000,female,C,5,5,4,3,1
RoadSalt,0,male,A,5,5,5,4,4
RoadSalt,0,male,B,5,4,4,4,3
RoadSalt,0,male,C,5,5,5,5,5
RoadSalt,1000,male,A,5,5,5,5,5
RoadSalt,1000,male,B,5,5,5,5,3
RoadSalt,1000,male,C,5,5,5,5,5
RoadSalt,2000,male,A,5,5,5,5,5
RoadSalt,2000,male,B,5,5,5,5,5
RoadSalt,2000,male,C,4,4,4,4,3
RoadSalt,3000,male,A,5,5,5,5,5
RoadSalt,3000,male,B,5,5,5,4,3
RoadSalt,3000,male,C,5,5,5,4,3
RoadSalt,4000,male,A,5,5,5,5,4
RoadSalt,4000,male,B,5,5,5,4,4
RoadSalt,4000,male,C,5,5,5,5,4
RoadSalt,5000,male,A,5,5,5,5,3
RoadSalt,5000,male,B,5,4,4,4,3
RoadSalt,5000,male,C,5,4,3,3,3
RoadSalt,6000,male,A,5,5,5,4,1
RoadSalt,6000,male,B,5,5,4,4,1
RoadSalt,6000,male,C,5,4,4,3,2
RoadSalt,7000,male,A,5,5,3,0,0
RoadSalt,7000,male,B,5,2,2,0,0
RoadSalt,7000,male,C,5,2,0,0,0
